Dataset,Model,Experiment,AUC_mean,AUC_std,Acc_mean,Acc_std,F1_mean,F1_std,Params,Epochs_avg,Source
HIGGS,KAN,Main,0.8261575374268542,0.0010954050150368845,0.7443690000000001,0.000742582655332062,0.7602610281525617,0.0013189401173574946,4181,81.3,extra_methods
FOREST_COVER,KAN,Main,0.9460149911658802,0.0021616028816632787,0.87203,0.0025676058887609703,0.8722700417428978,0.0028151400845114905,5845,98.0,extra_methods
SPAMBASE,KAN,Main,0.980472146513606,0.003162498810355563,0.9358306188925081,0.009643870009027871,0.919490984319103,0.010220443666034694,6037,99.1,extra_methods
MINIBOONE,KAN,Main,0.9711428106216717,0.004775740445767865,0.91821,0.008025546710349414,0.853138757761057,0.01426274605245822,5589,68.1,extra_methods
MAGIC_TELESCOPE,KAN,Main,0.92938311345388,0.0035087560322651,0.8721083070452155,0.005363355878838891,0.9055149938253578,0.003980057441241578,3029,99.3,extra_methods
PHONEME,KAN,Main,0.8928965847339656,0.012012444019110155,0.8119333950046255,0.012083049302258748,0.6935076421468731,0.02279391835952055,2709,100.0,extra_methods
EEG_EYE_STATE,KAN,Main,0.8761744478446903,0.033158325291519956,0.7913551401869159,0.03363070105473656,0.763152503127128,0.03757071014894122,3285,99.6,extra_methods
WILT,KAN,Main,0.9953309931047084,0.0020912256733771986,0.9777892561983471,0.005252365214415772,0.7450284982760366,0.0621947009271399,2709,100.0,extra_methods
HIGGS,PAU-fixed,Main,0.8270748851515423,0.0011570748084159968,0.7451380000000001,0.0009847517453653123,0.7618066694930101,0.0015641272286440137,4181,92.5,extra_methods
FOREST_COVER,PAU-fixed,Main,0.9425564266247879,0.002407608991400908,0.8666050000000001,0.0040053370644678515,0.8672592234444403,0.003497431814112892,5845,99.1,extra_methods
SPAMBASE,PAU-fixed,Main,0.9788838265523628,0.004696652414432648,0.934527687296417,0.010505131482681215,0.9183596602025814,0.011233413867265148,6037,90.8,extra_methods
MINIBOONE,PAU-fixed,Main,0.9768681032528075,0.0019586015693330077,0.92827,0.0031592878944470904,0.8718504012137952,0.0053692699556660345,5589,84.2,extra_methods
MAGIC_TELESCOPE,PAU-fixed,Main,0.929994308737933,0.0032808780861701245,0.8727917981072556,0.005309223656000811,0.9058732817334704,0.0039600805494420304,3029,90.9,extra_methods
PHONEME,PAU-fixed,Main,0.907743504967469,0.008297376708431161,0.8352451433857541,0.009697357193148631,0.7209891796997158,0.01879393959432754,2709,100.0,extra_methods
EEG_EYE_STATE,PAU-fixed,Main,0.8759413912894644,0.03325145499537099,0.7918224299065421,0.03339820806937778,0.7570569368573674,0.040128602747638124,3285,99.0,extra_methods
WILT,PAU-fixed,Main,0.9937775405420867,0.0034623368039734055,0.9784090909090908,0.007398454243716488,0.7465912388963252,0.11118743636419022,2709,100.0,extra_methods
HIGGS,NAS-AF,Main,0.8205035818274157,0.0007680936877710195,0.739936,0.0009582191816072227,0.7565380167946394,0.002408430155105915,4163,84.3,extra_methods
FOREST_COVER,NAS-AF,Main,0.9282446789658098,0.0018802132024039486,0.8483749999999999,0.002332943419802542,0.8491287078357385,0.0029631840230836355,5827,99.3,extra_methods
SPAMBASE,NAS-AF,Main,0.9798830641778448,0.004404280861907926,0.9374592833876221,0.010268482447371894,0.9213005307865483,0.011272497332939684,6019,100.0,extra_methods
MINIBOONE,NAS-AF,Main,0.9678607564859565,0.0044096184215774124,0.9129099999999999,0.007256645230407782,0.844033073059545,0.013813146100817424,5571,60.8,extra_methods
MAGIC_TELESCOPE,NAS-AF,Main,0.9274613859164704,0.0037638435215379675,0.8700052576235542,0.0046318589297320925,0.9043161969092951,0.0034623081017542997,3011,98.4,extra_methods
PHONEME,NAS-AF,Main,0.8833124637041608,0.011529283310001888,0.8007400555041627,0.010931486584068423,0.6760271154369029,0.019896739329691375,2691,100.0,extra_methods
EEG_EYE_STATE,NAS-AF,Main,0.8128536741572286,0.07675838586919888,0.7351468624833111,0.06298040549862302,0.6903558068677516,0.0717238235152344,3267,89.4,extra_methods
WILT,NAS-AF,Main,0.993836225306592,0.0020534013887046555,0.9808884297520661,0.004315412928554851,0.7993835444575209,0.04412059173787001,2691,100.0,extra_methods
