Dataset,Model,Experiment,AUC_mean,AUC_std,Acc_mean,Acc_std,F1_mean,F1_std,Params,Source
HIGGS,Heavy (ReLU),Main,0.8338233409386996,0.0008755030481369,0.7515409999999999,0.0009199288015928,0.7661464242369455,0.0017633300189146,26601,main_run
HIGGS,ReLU,Main,0.8156872599255512,0.0011838405614683,0.73546,0.0011106664665866,0.7515133879242357,0.0021403494397202,4161,main_run
HIGGS,GELU,Main,0.8208952179617661,0.0009700869568816,0.739941,0.0008574432925855,0.7569667477735165,0.0021688547569052,4161,main_run
HIGGS,SiLU,Main,0.8185977890394825,0.0012887118444131,0.7383409999999999,0.0009282289588242,0.7561270223373401,0.0022301729816324,4161,main_run
HIGGS,PReLU,Main,0.8161354650896661,0.0013348649533488,0.736015,0.001257499502982,0.7524300335345098,0.0015489793055266,4163,main_run
HIGGS,Mish,Main,0.8194853244709777,0.0007755524622227,0.739094,0.0008210749052309,0.7561216984886174,0.0023682124672858,4161,main_run
HIGGS,Tanh,Main,0.8108324654865842,0.0015341572276415,0.731743,0.0011726896435118,0.7468933921157437,0.00155423390904,4161,main_run
HIGGS,Sigmoid,Main,0.8123949235383654,0.0009935484223701,0.7323609999999999,0.0006441032525923,0.7511888729818708,0.0019771150263502,4161,main_run
HIGGS,PAU,Main,0.5869007658636343,0.043177828932999,0.567422,0.0299656482659728,0.6849585915560764,0.0059226912383655,4181,main_run
HIGGS,Hybrid (Specialist),Main,0.7998835278049853,0.0028745200535509,0.7169070000000001,0.0043224901387973,0.7130184726917819,0.0095285937578261,4161,main_run
HIGGS,Unbounded Hybrid,Main,0.8209739900796965,0.0011268249869347,0.7403919999999999,0.0008881981760845,0.7568400987808814,0.0015819898208981,4163,main_run
HIGGS,Hybrid (Constrained),Main,0.7997410326752312,0.0028142349486033,0.716556,0.0038873183558849,0.7122851779428322,0.0089643812601202,4161,main_run
FOREST_COVER,Heavy (ReLU),Main,0.9484589895449114,0.0010847123905027,0.876125,0.0026068419591528,0.8761285124223648,0.0026707554229749,31801,main_run
FOREST_COVER,ReLU,Main,0.9198808999449538,0.0023795074293136,0.838025,0.0031907875203466,0.839113426984097,0.0035462208604877,5825,main_run
FOREST_COVER,GELU,Main,0.9235510375994502,0.0026545312764706,0.84361,0.0031949021894261,0.8444434040820097,0.0035104900455209,5825,main_run
FOREST_COVER,SiLU,Main,0.9144934794506436,0.0017872518046928,0.8318300000000001,0.0023664530420018,0.8327145867593764,0.0029776190117505,5825,main_run
FOREST_COVER,PReLU,Main,0.919785377745437,0.001790167672626,0.837895,0.002947155408186,0.8391014355560186,0.0036499340855848,5827,main_run
FOREST_COVER,Mish,Main,0.9167167402973876,0.0017919533251224,0.83475,0.0026021145247663,0.8357521975140697,0.0029219042244243,5825,main_run
FOREST_COVER,Tanh,Main,0.9162815616044072,0.0018374889536413,0.8354800000000001,0.0027446493400797,0.8353618769217265,0.0030795673951739,5825,main_run
FOREST_COVER,Sigmoid,Main,0.8907007988071513,0.0016090730875894,0.80777,0.0028490524740692,0.8083220657008953,0.0032739753704781,5825,main_run
