Dataset,Model,Experiment,AUC_mean,AUC_std,Acc_mean,Acc_std,F1_mean,F1_std,Params,Efficiency
HIGGS,Heavy (ReLU),Main,0.8338233409386996,0.0008755030481369293,0.7515409999999999,0.0009199288015928217,0.7661464242369455,0.0017633300189146511,26601,0.18843899856588656
HIGGS,ReLU,Main,0.8156872599255512,0.0011838405614683883,0.73546,0.001110666466586613,0.7515133879242357,0.0021403494397202083,4161,0.22537792184333275
HIGGS,GELU,Main,0.8208952179617661,0.0009700869568816459,0.739941,0.000857443292585595,0.7569667477735165,0.0021688547569052442,4161,0.22681690319919764
HIGGS,SiLU,Main,0.8185977890394825,0.0012887118444131161,0.7383409999999999,0.0009282289588242766,0.7561270223373401,0.002230172981632437,4161,0.22618211364010327
HIGGS,PReLU,Main,0.8161354650896661,0.001334864953348818,0.736015,0.0012574995029820144,0.7524300335345098,0.0015489793055266168,4163,0.2254887604317714
HIGGS,Mish,Main,0.8194853244709777,0.0007755524622227379,0.739094,0.0008210749052309581,0.7561216984886174,0.0023682124672858075,4161,0.22642734352285385
HIGGS,Tanh,Main,0.8108324654865842,0.0015341572276415267,0.731743,0.0011726896435118696,0.7468933921157437,0.00155423390904001,4161,0.2240365211185858
HIGGS,Sigmoid,Main,0.8123949235383654,0.0009935484223701579,0.7323609999999999,0.0006441032525923307,0.7511888729818708,0.0019771150263502473,4161,0.22446823504373645
HIGGS,PAU,Main,0.5869007658636343,0.043177828932999096,0.567422,0.02996564826597283,0.6849585915560764,0.005922691238365555,4181,0.16206996937788395
HIGGS,Hybrid (Specialist),Main,0.7998835278049853,0.0028745200535509577,0.7169070000000001,0.004322490138797322,0.7130184726917819,0.009528593757826154,4161,0.22101128222825897
HIGGS,Unbounded Hybrid,Main,0.8209739900796965,0.0011268249869347163,0.7403919999999999,0.000888198176084598,0.7568400987808814,0.0015819898208981826,4163,0.22682558875132033
HIGGS,Hybrid (Constrained),Main,0.7997410326752312,0.0028142349486033552,0.716556,0.0038873183558849386,0.7122851779428322,0.008964381260120278,4161,0.220971910206904
FOREST_COVER,Heavy (ReLU),Main,0.9484589895449114,0.0010847123905027246,0.876125,0.0026068419591528747,0.8761285124223648,0.0026707554229749657,31801,0.21065440647792844
FOREST_COVER,ReLU,Main,0.9198808999449538,0.002379507429313627,0.838025,0.003190787520346665,0.839113426984097,0.0035462208604877146,5825,0.24430507378970348
FOREST_COVER,GELU,Main,0.9235510375994502,0.0026545312764706553,0.84361,0.003194902189426144,0.8444434040820097,0.0035104900455209575,5825,0.24527980133383856
FOREST_COVER,SiLU,Main,0.9144934794506435,0.0017872518046928114,0.8318300000000001,0.00236645304200187,0.8327145867593764,0.002977619011750519,5825,0.24287426447354374
FOREST_COVER,PReLU,Main,0.919785377745437,0.0017901676726260582,0.837895,0.0029471554081860014,0.8391014355560186,0.003649934085584819,5827,0.2442700327123502
FOREST_COVER,Mish,Main,0.9167167402973876,0.001791953325122462,0.83475,0.0026021145247663354,0.8357521975140697,0.0029219042244243137,5825,0.24346472559220603
FOREST_COVER,Tanh,Main,0.9162815616044071,0.0018374889536413325,0.8354800000000001,0.0027446493400797157,0.8353618769217265,0.003079567395173988,5825,0.24334914936629823
FOREST_COVER,Sigmoid,Main,0.8907007988071513,0.0016090730875894573,0.80777,0.0028490524740692326,0.8083220657008953,0.0032739753704781826,5825,0.23655532405352736
FOREST_COVER,PAU,Main,0.554629408982706,0.05462940604162088,0.51539,0.0028506841284154836,0.007178484374598834,0.00454736822368622,5845,0.14724213893860083
FOREST_COVER,Hybrid (Specialist),Main,0.9274079998558925,0.0021027424699868224,0.8493,0.0033074159097397906,0.8495102715375248,0.0033785320873346006,5825,0.24630414638624765
FOREST_COVER,Unbounded Hybrid,Main,0.925091587647293,0.001491870436008608,0.84636,0.002809786468755248,0.8468304069826859,0.003066932905923207,5827,0.24567921804804455
FOREST_COVER,Hybrid (Constrained),Main,0.92711798119748,0.0022399512303603393,0.8487450000000001,0.00255963376286532,0.8487893613366296,0.0026193714889454892,5825,0.2462271222522015
SPAMBASE,Heavy (ReLU),Main,0.9835127399818864,0.0033796801566316165,0.9402823018458196,0.007348067020928832,0.925047893563602,0.007515234489667167,32401,0.21804678039340517
