Dataset,Model,Seed,AUC,Acc,F1
HIGGS,KAN,42,0.8236457101171747,0.74261,0.7582988233747453
HIGGS,KAN,43,0.8251355859420763,0.74387,0.7613510365711623
HIGGS,KAN,44,0.827931226988034,0.74494,0.761005228537696
HIGGS,KAN,45,0.8265193301867052,0.74449,0.7623229119187371
HIGGS,KAN,46,0.8260987633850337,0.74384,0.7600284788188785
HIGGS,KAN,47,0.8264836227165833,0.74495,0.7595387820905654
HIGGS,KAN,48,0.826087524555118,0.74451,0.75898306683647
HIGGS,KAN,49,0.8267331839292119,0.74541,0.7621921032720888
HIGGS,KAN,50,0.8258673025644216,0.74437,0.7598207322916765
HIGGS,KAN,51,0.8270731238841824,0.7447,0.7590691178135971
FOREST_COVER,KAN,42,0.9440218704828517,0.86945,0.8703381834434126
FOREST_COVER,KAN,43,0.9426649449466389,0.86725,0.8692182651100931
FOREST_COVER,KAN,44,0.9462488144753638,0.87445,0.8738000703623662
FOREST_COVER,KAN,45,0.9439810412631949,0.8706,0.8689089251342316
FOREST_COVER,KAN,46,0.9493815374256892,0.87305,0.871579586262708
FOREST_COVER,KAN,47,0.9445950337969569,0.86925,0.868784183852677
FOREST_COVER,KAN,48,0.9472692468172831,0.87505,0.8756283282735281
FOREST_COVER,KAN,49,0.945409765012142,0.8726,0.8729430537548619
FOREST_COVER,KAN,50,0.9492130207667535,0.8743,0.8771621225447083
FOREST_COVER,KAN,51,0.9473646366719258,0.8743,0.8743376986903929
SPAMBASE,KAN,42,0.9824617316142741,0.9402823018458197,0.9284785435630689
SPAMBASE,KAN,43,0.9781538971225896,0.9239956568946797,0.9076517150395779
SPAMBASE,KAN,44,0.9802139196463089,0.9402823018458197,0.9222065063649222
SPAMBASE,KAN,45,0.9813346580233919,0.9381107491856677,0.9220246238030095
SPAMBASE,KAN,46,0.9837206977557855,0.9543973941368078,0.94
SPAMBASE,KAN,47,0.9801357953938358,0.9207383279044516,0.9038208168642952
SPAMBASE,KAN,48,0.9741087287798343,0.9239956568946797,0.9086161879895561
SPAMBASE,KAN,49,0.9768823269730712,0.9391965255157437,0.9243243243243243
SPAMBASE,KAN,50,0.9850671073314256,0.9402823018458197,0.9197080291970803
SPAMBASE,KAN,51,0.9826426024955437,0.9370249728555917,0.9180790960451978
MINIBOONE,KAN,42,0.976243480500005,0.92695,0.8683902351139537
MINIBOONE,KAN,43,0.9639677871064252,0.90755,0.8331076811986642
MINIBOONE,KAN,44,0.976029984404229,0.9277,0.8683779355543418
MINIBOONE,KAN,45,0.9690619293763012,0.9144,0.8466774135769299
MINIBOONE,KAN,46,0.9620312132685077,0.90165,0.8242965609647164
MINIBOONE,KAN,47,0.9688790869311515,0.91655,0.85080897470278
MINIBOONE,KAN,48,0.9743065632342207,0.92285,0.8636323464427751
MINIBOONE,KAN,49,0.9718580787322771,0.9201,0.8542236818098887
MINIBOONE,KAN,50,0.975165208097633,0.925,0.8662386302835741
MINIBOONE,KAN,51,0.9738847745659673,0.91935,0.8556341179629464
MAGIC_TELESCOPE,KAN,42,0.9290009194734804,0.8751314405888538,0.9076414544040443
MAGIC_TELESCOPE,KAN,43,0.9293906858482505,0.869348054679285,0.9027967924897321
MAGIC_TELESCOPE,KAN,44,0.9306307018892254,0.8698738170347003,0.9028077753779697
MAGIC_TELESCOPE,KAN,45,0.9258213096492329,0.8664563617245006,0.9015503875968992
MAGIC_TELESCOPE,KAN,46,0.9361892818326228,0.8851209253417456,0.9148977604673807
MAGIC_TELESCOPE,KAN,47,0.9339485336817654,0.8759200841219769,0.9083495145631068
MAGIC_TELESCOPE,KAN,48,0.9245295662410575,0.8675078864353313,0.9017543859649123
MAGIC_TELESCOPE,KAN,49,0.9269620881408853,0.870136698212408,0.9053639846743295
MAGIC_TELESCOPE,KAN,50,0.9263181047991348,0.8675078864353313,0.9024767801857585
MAGIC_TELESCOPE,KAN,51,0.9310399429831454,0.8740799158780231,0.9075111025294459
PHONEME,KAN,42,0.902930600652721,0.8214616096207216,0.6998444790046656
PHONEME,KAN,43,0.8792117736806466,0.8112858464384829,0.6880733944954128
PHONEME,KAN,44,0.8861701686766962,0.8038852913968547,0.6816816816816816
PHONEME,KAN,45,0.8699786598378147,0.7872340425531915,0.6483180428134556
PHONEME,KAN,46,0.8972802024035421,0.8177613320999075,0.701062215477997
PHONEME,KAN,47,0.8906353895748639,0.8075855689176689,0.6770186335403726
PHONEME,KAN,48,0.9011430511543684,0.8279370952821462,0.7327586206896551
PHONEME,KAN,49,0.8917712334613743,0.8112858464384829,0.6851851851851852
PHONEME,KAN,50,0.8948795455866599,0.8020351526364478,0.6960227272727273
PHONEME,KAN,51,0.9149652223109691,0.8288621646623496,0.725111441307578
EEG_EYE_STATE,KAN,42,0.8441920885764624,0.753004005340454,0.7104851330203443
EEG_EYE_STATE,KAN,43,0.832816443146586,0.7516688918558078,0.7272727272727273
EEG_EYE_STATE,KAN,44,0.8756176117991937,0.7913885180240321,0.7660052414825907
EEG_EYE_STATE,KAN,45,0.8438027669002752,0.760347129506008,0.7236335642802155
EEG_EYE_STATE,KAN,46,0.9227936935420523,0.8427903871829105,0.8172293364377182
EEG_EYE_STATE,KAN,47,0.8942315827370506,0.7987316421895861,0.7676300578034682
EEG_EYE_STATE,KAN,48,0.9315611751947155,0.8484646194926568,0.8278999241849886
EEG_EYE_STATE,KAN,49,0.8428075857363398,0.7600133511348465,0.7347842124677241
EEG_EYE_STATE,KAN,50,0.8788805068858605,0.798064085447263,0.7717842323651453
EEG_EYE_STATE,KAN,51,0.8950410239283683,0.8090787716955942,0.7848006019563581
WILT,KAN,42,0.9954455064468536,0.9752066115702479,0.7
WILT,KAN,43,0.9972790948275863,0.9772727272727273,0.6206896551724138
WILT,KAN,44,0.9958559782608696,0.9834710743801653,0.813953488372093
WILT,KAN,45,0.9955615942028985,0.9772727272727273,0.7105263157894737
WILT,KAN,46,0.9974173553719008,0.984504132231405,0.810126582278481
WILT,KAN,47,0.993262099308611,0.984504132231405,0.8
WILT,KAN,48,0.9965658719973973,0.9803719008264463,0.819047619047619
WILT,KAN,49,0.9969531363350583,0.96900826446281,0.7222222222222222
WILT,KAN,50,0.9947870778267255,0.9700413223140496,0.7010309278350515
WILT,KAN,51,0.9901822164691825,0.9762396694214877,0.7526881720430108
HIGGS,PAU-fixed,42,0.8244137590130904,0.74349,0.7592201477476462
HIGGS,PAU-fixed,43,0.8268707421769665,0.74482,0.7620610558901963
HIGGS,PAU-fixed,44,0.8265970887971732,0.74398,0.7617354725831069
HIGGS,PAU-fixed,45,0.8279568507001058,0.74558,0.7614260797809493
HIGGS,PAU-fixed,46,0.8288762249475052,0.74716,0.7618984838497034
HIGGS,PAU-fixed,47,0.8279167969325972,0.74591,0.7624594501107819
HIGGS,PAU-fixed,48,0.8266626643907178,0.74534,0.765411400567449
HIGGS,PAU-fixed,49,0.8274378087720047,0.7455,0.7598150245375613
HIGGS,PAU-fixed,50,0.8263032286108399,0.74444,0.7622122559874946
