Dataset,Model,Seed,AUC,Acc,F1
HIGGS,Heavy (ReLU),42,0.8322319621233674,0.75005,0.7663734846289736
HIGGS,Heavy (ReLU),43,0.8333717417787792,0.7507,0.764103631649666
HIGGS,Heavy (ReLU),44,0.8340430402481687,0.75161,0.7658972884838318
HIGGS,Heavy (ReLU),45,0.8349075351179895,0.75231,0.7676083427938789
HIGGS,Heavy (ReLU),46,0.8339310559914956,0.75233,0.7666418550309517
HIGGS,Heavy (ReLU),47,0.8346025585394816,0.75162,0.7645821090743654
HIGGS,Heavy (ReLU),48,0.8346371056583303,0.75329,0.7685104386582219
HIGGS,Heavy (ReLU),49,0.8336818371653015,0.75063,0.7626697629267272
HIGGS,Heavy (ReLU),50,0.832396533138817,0.75099,0.7670779275445013
HIGGS,Heavy (ReLU),51,0.8344300396252644,0.75188,0.7679994015783371
HIGGS,ReLU,42,0.8144328280317816,0.73405,0.749569196869968
HIGGS,ReLU,43,0.816018998544613,0.73509,0.7524275020326533
HIGGS,ReLU,44,0.8165593545903579,0.73567,0.7531540954213087
HIGGS,ReLU,45,0.8175705520833447,0.7364,0.7463042808746535
HIGGS,ReLU,46,0.8159865451478217,0.73716,0.7505173035670216
HIGGS,ReLU,47,0.8154278228404659,0.73423,0.7514193518215405
HIGGS,ReLU,48,0.8139876296590326,0.73472,0.754088026993956
HIGGS,ReLU,49,0.8141117510046743,0.73423,0.7520686599188395
HIGGS,ReLU,50,0.8155189881270901,0.736,0.7525123743812809
HIGGS,ReLU,51,0.8172581292263303,0.73705,0.7530730873611359
HIGGS,GELU,42,0.81986842789629,0.7393,0.7555326331582896
HIGGS,GELU,43,0.8205966483840229,0.73941,0.7590320224147656
HIGGS,GELU,44,0.8190244987415969,0.73857,0.7554512034274061
HIGGS,GELU,45,0.8222242913668428,0.7405,0.7525790888808375
HIGGS,GELU,46,0.8219022664698782,0.74137,0.7564161729941513
HIGGS,GELU,47,0.8210261814212862,0.73954,0.7567385822359204
HIGGS,GELU,48,0.8207196588089842,0.73953,0.7580332011110389
HIGGS,GELU,49,0.8212457555260805,0.74001,0.758128587509652
HIGGS,GELU,50,0.8202604259588109,0.7398,0.7567542301579883
HIGGS,GELU,51,0.8220840250438677,0.74138,0.761001755845116
HIGGS,SiLU,42,0.8165189976297329,0.7371,0.7551731202622414
HIGGS,SiLU,43,0.8183336892274892,0.73785,0.7576880771257175
HIGGS,SiLU,44,0.8162869099312213,0.73677,0.7538411184364333
HIGGS,SiLU,45,0.8201952740653672,0.73963,0.7520828770840673
HIGGS,SiLU,46,0.8189621185067285,0.73842,0.7541402710679174
HIGGS,SiLU,47,0.8204713487507942,0.73992,0.7554903730445247
HIGGS,SiLU,48,0.819162826513995,0.73878,0.7590354777410845
HIGGS,SiLU,49,0.818651146382269,0.73823,0.7581600317809333
HIGGS,SiLU,50,0.8182858051583469,0.73834,0.756812520911558
HIGGS,SiLU,51,0.8191097742288815,0.73837,0.7588463559189241
HIGGS,PReLU,42,0.8145859088596855,0.73475,0.7526276031223479
HIGGS,PReLU,43,0.8167708392675344,0.73685,0.7535056249238926
HIGGS,PReLU,44,0.8167566257246484,0.73616,0.754169539533757
HIGGS,PReLU,45,0.8187987681651788,0.73872,0.7511239807970739
HIGGS,PReLU,46,0.8162895003880186,0.73572,0.7494026171060117
HIGGS,PReLU,47,0.8168359949618806,0.73684,0.7510971549636803
HIGGS,PReLU,48,0.815294214022424,0.73509,0.7550055951687337
HIGGS,PReLU,49,0.8148307217582629,0.73487,0.7524578684468513
HIGGS,PReLU,50,0.8170152476324773,0.73677,0.7529493472486837
HIGGS,PReLU,51,0.8141768301165502,0.73438,0.7519610040340654
HIGGS,Mish,42,0.8177231865204482,0.73742,0.7544420753375978
HIGGS,Mish,43,0.8194970167775104,0.73872,0.7567180021974338
HIGGS,Mish,44,0.8195686406246312,0.73962,0.7572123902056953
HIGGS,Mish,45,0.8205421822383707,0.73886,0.7503393946346967
HIGGS,Mish,46,0.820363822116438,0.74021,0.7548619039980373
HIGGS,Mish,47,0.8200599394135684,0.74022,0.7560613743497286
HIGGS,Mish,48,0.8192784011113493,0.73941,0.7571456529640365
HIGGS,Mish,49,0.8196741442723172,0.73851,0.756656150832426
HIGGS,Mish,50,0.8194370663611021,0.73948,0.7590143007788652
HIGGS,Mish,51,0.8187088452740405,0.73849,0.7587657395876574
HIGGS,Tanh,42,0.8082539129609329,0.73033,0.7473083518398785
HIGGS,Tanh,43,0.8093538914199689,0.73015,0.7446174229877442
HIGGS,Tanh,44,0.8121796780506002,0.73305,0.7473858528507216
HIGGS,Tanh,45,0.8137649302395729,0.734,0.7496611956030719
HIGGS,Tanh,46,0.8120468912789702,0.73279,0.7470632223621063
HIGGS,Tanh,47,0.8112761351407578,0.73194,0.7468361603263949
HIGGS,Tanh,48,0.8112077381085201,0.73135,0.7483490234649431
HIGGS,Tanh,49,0.8102589764841875,0.7316,0.7442689178116128
HIGGS,Tanh,50,0.809386990122231,0.73072,0.7476714331228097
HIGGS,Tanh,51,0.8105955110601002,0.7315,0.7457723407881531
HIGGS,Sigmoid,42,0.8109947906000499,0.73208,0.751829415142926
HIGGS,Sigmoid,43,0.8112372871950411,0.73151,0.750920746245118
HIGGS,Sigmoid,44,0.8132339144861627,0.73273,0.7535432707824242
HIGGS,Sigmoid,45,0.8143090610527557,0.73345,0.7459517160530303
HIGGS,Sigmoid,46,0.8126250060939243,0.73294,0.7519228625571285
HIGGS,Sigmoid,47,0.8131522911638691,0.73217,0.7512237713521396
HIGGS,Sigmoid,48,0.8129557235760775,0.73281,0.7531572480437534
HIGGS,Sigmoid,49,0.8120807914365673,0.7325,0.7507175606664928
HIGGS,Sigmoid,50,0.8114140643728838,0.73117,0.7506145811107916
HIGGS,Sigmoid,51,0.8119463054063222,0.73225,0.7520075578649031
HIGGS,PAU,42,0.5438067097149505,0.53509,0.6887173341010894
HIGGS,PAU,43,0.59028004964428,0.55752,0.6831416581928591
HIGGS,PAU,44,0.5988386961653178,0.57814,0.6769930476861352
HIGGS,PAU,45,0.5992735449416292,0.57582,0.6857879375990755
HIGGS,PAU,46,0.6550514001829797,0.61597,0.6824755053950142
HIGGS,PAU,47,0.5591257511668953,0.55018,0.6929723974117454
HIGGS,PAU,48,0.5693818046950705,0.56313,0.6874074286082271
HIGGS,PAU,49,0.5245290214141394,0.53208,0.6878077420904445
HIGGS,PAU,50,0.6661192365438843,0.62336,0.6729533534785176
HIGGS,PAU,51,0.5626014441671962,0.54293,0.6913295109976566
HIGGS,Hybrid (Specialist),42,0.7981768206035783,0.71869,0.7215055786003505
HIGGS,Hybrid (Specialist),43,0.7982816809448374,0.71107,0.6988524436384103
HIGGS,Hybrid (Specialist),44,0.7981590637168954,0.71684,0.7143664131377732
HIGGS,Hybrid (Specialist),45,0.8054836969407244,0.72382,0.7253416074944806
HIGGS,Hybrid (Specialist),46,0.8007066094397213,0.71821,0.7124562495535669
HIGGS,Hybrid (Specialist),47,0.8042196885257638,0.72335,0.7285909095368436
HIGGS,Hybrid (Specialist),48,0.7964835028105255,0.7103,0.6985243615626365
HIGGS,Hybrid (Specialist),49,0.801127334568954,0.7179,0.7115836826500358
HIGGS,Hybrid (Specialist),50,0.7967102456947908,0.71349,0.7085914218004659
HIGGS,Hybrid (Specialist),51,0.799486634804063,0.7154,0.710372058943255
HIGGS,Unbounded Hybrid,42,0.8185654938751012,0.73909,0.7563751809141417
