,ReLU,GELU,SiLU,Mish,Tanh,Disc(HIGGS),Disc(FOREST_COVER),Disc(SPAMBASE),Disc(MINIBOONE),Disc(MAGIC_TELESCOPE),Disc(PHONEME),Disc(EEG_EYE_STATE),Disc(WILT)
ReLU,1.0,0.9995984435081482,0.9971585869789124,0.9975810050964355,0.6468979716300964,0.9144043922424316,0.7113486528396606,0.6719874739646912,0.945410430431366,0.9660265445709229,0.8756507039070129,0.9143751263618469,0.8176145553588867
GELU,0.9995984435081482,1.0,0.9988729357719421,0.9991286993026733,0.6677552461624146,0.9041518568992615,0.7294439673423767,0.6915469169616699,0.9360364079475403,0.9608414769172668,0.863624095916748,0.9048556089401245,0.8221396207809448
SiLU,0.9971585869789124,0.9988729357719421,1.0,0.9998106360435486,0.6999929547309875,0.88380366563797,0.7550951838493347,0.7216152548789978,0.9190018773078918,0.9487985372543335,0.8438197374343872,0.888646125793457,0.8327165246009827
Mish,0.9975810050964355,0.9991286993026733,0.9998106360435486,1.0000001192092896,0.6981146335601807,0.8889461159706116,0.7560092210769653,0.7205191254615784,0.9208338856697083,0.9537710547447205,0.8440364003181458,0.8891856074333191,0.8254222273826599
Tanh,0.6468979716300964,0.6677552461624146,0.6999929547309875,0.6981146335601807,1.0000001192092896,0.3366657495498657,0.9662952423095703,0.9939916729927063,0.36814096570014954,0.5216563940048218,0.2527996897697449,0.3371976613998413,0.6424703001976013
Disc(HIGGS),0.9144043922424316,0.9041518568992615,0.88380366563797,0.8889461159706116,0.3366657495498657,1.0,0.4751744568347931,0.3739449977874756,0.9808722138404846,0.9732966423034668,0.9267011880874634,0.9263246655464172,0.5996683835983276
Disc(FOREST_COVER),0.7113486528396606,0.7294439673423767,0.7550951838493347,0.7560092210769653,0.9662952423095703,0.4751744568347931,1.0,0.9619946479797363,0.46879151463508606,0.6270197033882141,0.3320915400981903,0.40640807151794434,0.5850762128829956
Disc(SPAMBASE),0.6719874739646912,0.6915469169616699,0.7216152548789978,0.7205191254615784,0.9939916729927063,0.3739449977874756,0.9619946479797363,1.0000001192092896,0.4040393829345703,0.5600950121879578,0.2988356053829193,0.3676566779613495,0.6635820865631104
Disc(MINIBOONE),0.945410430431366,0.9360364079475403,0.9190018773078918,0.9208338856697083,0.36814096570014954,0.9808722138404846,0.46879151463508606,0.4040393829345703,0.9999999403953552,0.9639558792114258,0.968926191329956,0.9632765054702759,0.713106632232666
Disc(MAGIC_TELESCOPE),0.9660265445709229,0.9608414769172668,0.9487985372543335,0.9537710547447205,0.5216563940048218,0.9732966423034668,0.6270197033882141,0.5600950121879578,0.9639558792114258,1.0000001192092896,0.8915373086929321,0.9169600009918213,0.6868935227394104
Disc(PHONEME),0.8756507039070129,0.863624095916748,0.8438197374343872,0.8440364003181458,0.2527996897697449,0.9267011880874634,0.3320915400981903,0.2988356053829193,0.968926191329956,0.8915373086929321,1.0,0.923796534538269,0.7153860330581665
Disc(EEG_EYE_STATE),0.9143751263618469,0.9048556089401245,0.888646125793457,0.8891856074333191,0.3371976613998413,0.9263246655464172,0.40640807151794434,0.3676566779613495,0.9632765054702759,0.9169600009918213,0.923796534538269,0.9999999403953552,0.741661012172699
Disc(WILT),0.8176145553588867,0.8221396207809448,0.8327165246009827,0.8254222273826599,0.6424703001976013,0.5996683835983276,0.5850762128829956,0.6635820865631104,0.713106632232666,0.6868935227394104,0.7153860330581665,0.741661012172699,1.0
