Source,Target,AUC_mean,AUC_std,Is_specialist
HIGGS,HIGGS,0.7998835278049853,0.0028745200535509577,True
HIGGS,FOREST_COVER,0.8992269149285053,0.0027999802494246607,False
HIGGS,SPAMBASE,0.8359396899184606,0.162335338769238,False
HIGGS,MINIBOONE,0.9591633047137851,0.002564222550737555,False
HIGGS,MAGIC_TELESCOPE,0.8790759671593895,0.004639696864663722,False
FOREST_COVER,HIGGS,0.8204914792080086,0.0014115941959344795,False
FOREST_COVER,FOREST_COVER,0.9274079998558925,0.0021027424699868224,True
FOREST_COVER,SPAMBASE,0.9747464801946821,0.005254784671556783,False
FOREST_COVER,MINIBOONE,0.9698228734717,0.00197157328021761,False
FOREST_COVER,MAGIC_TELESCOPE,0.9235633790797637,0.003849191931451581,False
SPAMBASE,HIGGS,0.8110156242581464,0.0015064079693519648,False
SPAMBASE,FOREST_COVER,0.9223785268693007,0.0018543383712634285,False
SPAMBASE,SPAMBASE,0.9823179148309478,0.0032588331401449933,True
SPAMBASE,MINIBOONE,0.9717669346518759,0.0023279680001171373,False
SPAMBASE,MAGIC_TELESCOPE,0.921690949694874,0.004948491921007025,False
MINIBOONE,HIGGS,0.8124765245803754,0.001411553657817579,False
MINIBOONE,FOREST_COVER,0.9045020870663777,0.00252382657836183,False
MINIBOONE,SPAMBASE,0.9676692807269893,0.004866890115108604,False
MINIBOONE,MINIBOONE,0.9757552418460804,0.0013769998599144405,True
MINIBOONE,MAGIC_TELESCOPE,0.9259778873682991,0.004214795249873516,False
MAGIC_TELESCOPE,HIGGS,0.8072210076784506,0.0016485153047146464,False
MAGIC_TELESCOPE,FOREST_COVER,0.9069644359742478,0.001622857344913045,False
MAGIC_TELESCOPE,SPAMBASE,0.9773459670871437,0.004458420873744707,False
MAGIC_TELESCOPE,MINIBOONE,0.9675530051510307,0.002925425725062633,False
MAGIC_TELESCOPE,MAGIC_TELESCOPE,0.9098883423102873,0.004212676950662339,True
